team,venue,matches,wins
New Zealand,Docklands Stadium,1,1
England,Queens Sports Club,1,1
New Zealand,Sydney Cricket Ground,5,0
India,MA Aziz Stadium,1,1
India,Bangabandhu National Stadium,1,1
Bangladesh,Bangabandhu National Stadium,2,1
West Indies,"Brisbane Cricket Ground, Woolloongabba",2,0
Pakistan,"Brisbane Cricket Ground, Woolloongabba",4,2
Pakistan,Sydney Cricket Ground,3,0
Zimbabwe,MA Aziz Stadium,1,1
West Indies,Adelaide Oval,2,0
Pakistan,W.A.C.A. Ground,2,2
South Africa,The Wanderers Stadium,7,4
England,The Wanderers Stadium,2,2
Zimbabwe,Bangabandhu National Stadium,1,0
West Indies,W.A.C.A. Ground,1,0
Pakistan,Melbourne Cricket Ground,3,1
England,St George's Park,3,2
South Africa,St George's Park,19,11
England,Newlands,4,0
South Africa,Buffalo Park,5,5
England,Buffalo Park,1,0
England,SuperSport Park,5,2
Zimbabwe,The Wanderers Stadium,1,0
Australia,Eden Park,8,4
South Africa,Kingsmead,18,12
Zimbabwe,Kingsmead,1,0
New Zealand,Basin Reserve,5,4
Australia,Basin Reserve,1,1
Zimbabwe,St George's Park,1,0
India,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,7,6
Pakistan,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,0
India,"Sardar Patel (Gujarat) Stadium, Motera",2,0
Pakistan,"Sardar Patel (Gujarat) Stadium, Motera",1,1
India,Green Park,6,4
Pakistan,Green Park,2,1
Pakistan,Arun Jaitley Stadium,1,1
India,Arun Jaitley Stadium,2,0
West Indies,"Sabina Park, Kingston",14,11
South Africa,"Sabina Park, Kingston",1,1
West Indies,"Queen's Park Oval, Port of Spain",12,5
South Africa,"Queen's Park Oval, Port of Spain",2,2
Pakistan,"Arnos Vale Ground, Kingstown",1,1
West Indies,"Arnos Vale Ground, Kingstown",7,4
Pakistan,"Daren Sammy National Cricket Stadium, Gros Islet",1,1
West Indies,"Daren Sammy National Cricket Stadium, Gros Islet",1,0
Bangladesh,Kennington Oval,4,1
Australia,Sophia Gardens,4,0
Bangladesh,Sophia Gardens,3,2
Australia,Riverside Ground,4,1
Bangladesh,Old Trafford,1,0
Australia,Old Trafford,11,5
Bangladesh,Headingley,1,0
Bangladesh,St Lawrence Ground,1,0
Australia,St Lawrence Ground,1,1
West Indies,Rangiri Dambulla International Stadium,2,0
India,Rangiri Dambulla International Stadium,14,9
West Indies,"R.Premadasa Stadium, Khettarama",1,1
Sri Lanka,"R.Premadasa Stadium, Khettarama",8,5
Africa XI,SuperSport Park,1,1
Asia XI,SuperSport Park,1,0
New Zealand,Harare Sports Club,7,6
Sri Lanka,Sinhalese Sports Club Ground,6,5
Bangladesh,Sinhalese Sports Club Ground,2,0
ICC World XI,Docklands Stadium,2,0
India,Vidarbha C.A. Ground,1,1
Sri Lanka,Vidarbha C.A. Ground,1,0
New Zealand,Newlands,2,0
Sri Lanka,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,0
India,"Punjab Cricket Association IS Bindra Stadium, Mohali",3,2
New Zealand,St George's Park,2,1
Sri Lanka,Nehru Stadium,1,0
India,Nehru Stadium,8,5
Sri Lanka,"Sardar Patel (Gujarat) Stadium, Motera",1,1
New Zealand,SuperSport Park,4,0
Sri Lanka,Madhavrao Scindia Cricket Ground,3,1
India,Madhavrao Scindia Cricket Ground,4,3
Sri Lanka,Reliance Stadium,1,0
India,Reliance Stadium,4,2
India,"Rajiv Gandhi International Stadium, Uppal",6,3
South Africa,"Rajiv Gandhi International Stadium, Uppal",1,1
South Africa,Wankhede Stadium,2,1
India,Wankhede Stadium,7,4
England,Gaddafi Stadium,1,1
England,National Stadium,1,0
England,Rawalpindi Cricket Stadium,1,1
Sri Lanka,John Davies Oval,1,0
New Zealand,John Davies Oval,1,1
New Zealand,Jade Stadium,3,3
Sri Lanka,Jade Stadium,2,0
New Zealand,Westpac Stadium,17,11
Sri Lanka,Westpac Stadium,3,2
Australia,"Brisbane Cricket Ground, Woolloongabba",15,11
South Africa,"Brisbane Cricket Ground, Woolloongabba",2,1
Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",6,3
South Africa,Docklands Stadium,2,0
South Africa,Adelaide Oval,3,2
Australia,Western Australia Cricket Association Ground,17,13
Sri Lanka,Western Australia Cricket Association Ground,5,0
South Africa,Western Australia Cricket Association Ground,4,3
South Africa,Sydney Cricket Ground,5,3
South Africa,Bellerive Oval,3,1
Sri Lanka,Bellerive Oval,6,3
India,Multan Cricket Stadium,1,1
West Indies,Westpac Stadium,3,0
India,National Stadium,7,5
Bangladesh,Shaheed Chandu Stadium,4,3
Sri Lanka,Shaheed Chandu Stadium,2,1
New Zealand,Queenstown Events Centre,3,3
West Indies,Queenstown Events Centre,2,0
Bangladesh,Chittagong Divisional Stadium,3,0
Sri Lanka,Chittagong Divisional Stadium,1,1
